ID Caso Teste	Requisito / Regra	Endpoint(s)	Nível	Técnica Aplicada	Resultado Esperado	Pré-condições
TU-AUTH-01	RN-01: Validação de email — formato e comprimento	Validador interno	Unidade	Particionamento de Equivalência: emails válidos (a@b.co, user@domain.com) vs. inválidos (bad, sem @)	Validador aceita emails em formato RFC5322 com 5-254 chars; rejeita outros	Nenhuma. Teste isolado do validador User.isValidEmail()
TU-AUTH-02	RN-01: Email — Análise de Valores Limite (comprimento)	Validador interno (isValidEmail)	Unidade	Análise de Valores Limite: 1 char, 5 chars (aprox. mínimo), 254 chars (máx.), 255 chars (máx.+1)	Rejeita 1 char e 255+ chars; aceita 5-254 chars	Nenhuma
TU-AUTH-03	RN-02: Password — Análise de Valores Limite (comprimento)	Validador interno (isValidPassword)	Unidade	Análise de Valores Limite: 7 chars (min-1), 8 chars (min), 32 chars (interior), 128 chars (max), 129 chars (max+1)	Rejeita <8 e >128 chars; aceita 8-128 chars	Nenhuma
TU-AUTH-04	RN-02: Password — Particionamento de Equivalência (composição)	Validador interno (isValidPassword)	Unidade	Particionamento de Equivalência: só letras, só dígitos, letras+dígitos, tipos inválidos (null, undefined, number, object)	Aceita apenas strings com ≥1 letra AND ≥1 dígito; rejeita tipos não-string	Nenhuma
TU-AUTH-05	RN-03: Perfil de utilizador — Particionamento de Equivalência	Validador interno (isValidRole)	Unidade	Particionamento de Equivalência: valores válidos (Tecnico, Responsavel, Administrador) vs. inválidos (SuperAdmin, Admin, USER, null)	Aceita exatamente os 3 valores do enum Roles; rejeita outros	Nenhuma
TU-AUTH-06	RN-04: Encriptação de passwords — PasswordHasher	Serviço interno	Unidade	Verificação de hash (bcrypt): hash diferente cada vez (salt aleatório), verify correta/incorreta, tipos inválidos	Hash devolve string não-reversível; verify = true/false; rejeita inputs não-string	Nenhuma
TU-AUTH-07	RN-05: Emissão e verificação de JWT tokens	Serviço TokenService	Unidade	Particionamento de Equivalência: access token vs. refresh token, verificação de segredo, contaminação cruzada (access aceite por verifyRefresh?, etc.)	signAccess + verifyAccess OK; access token NÃO aceite em verifyRefresh; segredos isolados	Nenhuma
TU-AUTH-08	RN-05: JWT — Análise de Valores Limite (expiração)	Serviço TokenService	Unidade	Análise de Valores Limite: token com expiração passada (expirado) vs. futura (válido)	Token expirado lança erro; token válido (futuro) é aceite e devolve payload	Nenhuma
TU-AUTH-09	RN-06: Registo de utilizador — Particionamento de Equivalência	POST /auth/register	Unidade	Particionamento de Equivalência: payload válido, email inválido, password inválida, role inválido, nome vazio, email duplicado, normalização (trim + lowercase)	201: user criado com ID, hash não exposto. Erros: INVALID_EMAIL/PASSWORD/ROLE/NAME (422), EMAIL_TAKEN (409)	Nenhuma. AuthService com UserRepo vazio.
TU-AUTH-10	RN-07: Login — MC/DC (Multiple Condition Coverage)	POST /auth/login	Unidade	Cobertura de Condições Múltiplas (MC/DC): Decisão = (user existe) AND (password verifica). 4 casos: (F,F), (F,T), (T,F), (T,T)	L1 (F,F): 401. L2 (F,T): 401. L3 (T,F): 401. L4 (T,T): 200 + tokens. Não distingue user inexistente de password errada	User registado em memória; AuthService mockado com PasswordHasher real.
TU-AUTH-11	RN-08: Refresh de token — Particionamento de Equivalência	POST /auth/refresh	Unidade	Particionamento de Equivalência: refresh válido (classe válida), refresh expirado, refresh corrompido, user removido após emissão	Refresh válido: 200 + novo par (access + refresh). Inválido/expirado/user não existe: 401	User e tokens previamente criados.
TU-AUTH-12	RN-09: Validação de access token — Authenticate	GET /auth/me (via middleware)	Unidade	Particionamento de Equivalência: access token válido, access token com refresh secret (contaminação), token corrompido	Access válido: extrai user. Refresh secret ou corrompido: 401	User registado; tokens gerados (access distinct de refresh).
TU-AUTH-13	RN-06: Injeção de dependências — AuthService	Construtor AuthService	Unidade	Particionamento de Equivalência: faltando userRepo, faltando hasher, faltando tokens	Lança erro se alguma dependência ausente (verificação de contrato)	Nenhuma
TU-AUTH-14	RN-10: Autorização por perfil — RBAC	GET /users (middleware authorize)	Unidade	Particionamento de Equivalência: req.user ausente, perfil autorizado, perfil não autorizado, lista vazia (any autenticado)	sem req.user: 401. Perfil OK: next(). Perfil ≠: 403. Lista vazia: next()	req.user injetado com role válido/inválido.
TU-AUTH-15	RN-09: Autenticação via JWT — Middleware	GET /auth/me	Unidade	Particionamento de Equivalência: sem header, esquema errado (Basic em vez de Bearer), Bearer vazio, token válido	Sem header ou esquema errado: 401. Bearer vazio: 401. Token OK: req.user injetado + next()	Token JWT pré-gerado e incluído no header.
